u_z	r
1.4305	0.0000
1.4245	0.0623
1.4088	0.1157
1.3812	0.1720
1.3482	0.2218
1.3060	0.2700
1.2673	0.3068
1.2347	0.3352
1.1848	0.3730
1.1133	0.4197
1.0699	0.4462
1.0261	0.4702
0.9302	0.5195
0.8556	0.5543
0.7796	0.5871
0.7059	0.6172
0.6334	0.6440
0.5609	0.6669
0.4930	0.6864
0.4116	0.7044
0.3353	0.7188
0.2576	0.7315
0.1507	0.7456
0.0506	0.7572
0.0022	0.7630
