u_r	r
0.0000	0.0000
-0.0111	0.0697
-0.0181	0.1159
-0.0257	0.1704
-0.0327	0.2223
-0.0388	0.2749
-0.0442	0.3269
-0.0476	0.3723
-0.0501	0.4161
-0.0517	0.4528
-0.0526	0.4931
-0.0524	0.5331
-0.0513	0.5770
-0.0480	0.6320
-0.0446	0.6725
-0.0402	0.7124
-0.0347	0.7555
-0.0292	0.7926
-0.0218	0.8391
-0.0162	0.8724
-0.0089	0.9190
-0.0032	0.9625
0.0000	1.0000
