u_r	r
0.0000	0.0000
-0.0091	0.0094
-0.0210	0.0247
-0.0372	0.0443
-0.0591	0.0716
-0.0821	0.1023
-0.0975	0.1258
-0.1091	0.1483
-0.1174	0.1747
-0.1179	0.1957
-0.1113	0.2183
-0.0936	0.2430
-0.0717	0.2638
-0.0514	0.2808
-0.0312	0.2965
-0.0083	0.3178
0.0000	0.3250
