u_z	r
6.7403	0.0000
6.7362	0.0264
6.7013	0.0739
6.6130	0.1160
6.3618	0.1629
6.1941	0.1799
5.8609	0.2031
5.6839	0.2123
5.3368	0.2274
5.1589	0.2339
4.7982	0.2457
4.5946	0.2518
4.2129	0.2615
4.0479	0.2654
3.6706	0.2741
3.4787	0.2783
3.1332	0.2844
2.6689	0.2927
2.1944	0.3011
1.8695	0.3061
1.5008	0.3118
1.2892	0.3153
1.0926	0.3178
0.6525	0.3242
0.4488	0.3275
0.1037	0.3322
0.0000	0.3324
