u_r	r
0.0000	0.0000
0.0171	0.0510
0.0359	0.1194
0.0491	0.1975
0.0510	0.2783
0.0434	0.3523
0.0314	0.4239
0.0188	0.4940
0.0079	0.5660
-0.0004	0.6471
-0.0043	0.7263
-0.0048	0.8011
-0.0034	0.8743
-0.0014	0.9434
-0.0006	0.9678
0.0000	1.0000
