u_z	r
1.8283	0.0000
1.8252	0.0311
1.8144	0.0566
1.7874	0.0960
1.7381	0.1406
1.6576	0.1927
1.5734	0.2357
1.5041	0.2658
1.4410	0.2918
1.3476	0.3266
1.2594	0.3576
1.1309	0.4003
1.0339	0.4317
0.9643	0.4537
0.8803	0.4813
0.8116	0.5039
0.6872	0.5458
0.6138	0.5714
0.5440	0.5970
0.4799	0.6216
0.4097	0.6506
0.3326	0.6852
0.2779	0.7125
0.2381	0.7337
0.1860	0.7651
0.1472	0.7908
0.1094	0.8212
0.0854	0.8419
0.0542	0.8766
0.0307	0.9088
0.0053	0.9639
0.0000	1.0000
