u_r	r
0.0000	0.0000
0.0013	0.0457
0.0032	0.1083
0.0054	0.1669
0.0084	0.2294
0.0131	0.2940
0.0207	0.3459
0.0265	0.3694
0.0369	0.4042
0.0428	0.4287
0.0436	0.4538
0.0347	0.4843
0.0223	0.5060
0.0070	0.5269
-0.0085	0.5461
-0.0237	0.5658
-0.0353	0.5828
-0.0524	0.6136
-0.0628	0.6536
-0.0551	0.6984
-0.0434	0.7198
-0.0275	0.7395
-0.0087	0.7578
0.0000	0.7684
