u_z	r
5.9640	0.0000
5.9190	0.0363
5.8014	0.0629
5.5987	0.0910
5.3764	0.1143
5.1402	0.1347
4.7609	0.1619
4.5093	0.1785
4.2724	0.1921
4.0187	0.2072
3.7480	0.2222
3.4824	0.2371
3.2206	0.2506
2.9558	0.2649
2.6566	0.2815
2.1388	0.3110
1.8498	0.3284
1.6479	0.3415
1.3762	0.3600
1.1683	0.3755
0.9275	0.3955
0.6149	0.4263
0.3938	0.4537
0.2394	0.4772
0.0614	0.5152
0.0102	0.5308
-0.0846	0.5915
-0.0639	0.6316
0.0000	0.6639
