u_r	r
0.0000	0.0000
-0.0093	0.0154
-0.0196	0.0349
-0.0369	0.0674
-0.0512	0.0944
-0.0698	0.1284
-0.0878	0.1624
-0.1027	0.1908
-0.1116	0.2078
-0.1299	0.2434
-0.1486	0.2809
-0.1596	0.3038
-0.1776	0.3427
-0.1865	0.3649
-0.2012	0.4055
-0.2134	0.4622
-0.2061	0.5272
-0.1844	0.5636
-0.1677	0.5811
-0.1409	0.6025
-0.1244	0.6134
-0.1005	0.6262
-0.0840	0.6340
-0.0543	0.6469
-0.0377	0.6537
-0.0084	0.6655
0.0000	0.6683
