u_z	r
4.5264	0.0000
4.4964	0.0313
4.3622	0.0705
4.1435	0.1086
3.9424	0.1353
3.6987	0.1639
3.4764	0.1870
3.1358	0.2215
2.8954	0.2436
2.6556	0.2670
2.2123	0.3093
1.8635	0.3448
1.6718	0.3655
1.3714	0.3998
1.2119	0.4199
0.9878	0.4506
0.7435	0.4875
0.4643	0.5384
0.1524	0.6149
-0.0788	0.7068
-0.1748	0.7950
-0.1639	0.8804
-0.0907	0.9489
-0.0542	0.9707
0.0000	1.0000
