u_z	r
1.7009	0.0000
1.6918	0.0821
1.6640	0.1587
1.6272	0.2250
1.5951	0.2680
1.4164	0.4058
1.3699	0.4285
1.2131	0.4867
1.1238	0.5115
0.9257	0.5537
0.5431	0.6106
0.3274	0.6345
0.1460	0.6527
0.0000	0.6639
