shear_rate	viscosity
5.704246e-02	1.972667e+02
2.715733e-01	1.120654e+02
1.268560e+00	5.110685e+01
6.039422e+00	2.407842e+01
2.821135e+01	1.276425e+01
7.032593e+01	9.143931e+00
9.534940e+01	8.293010e+00
1.268550e+02	7.645302e+00
4.992838e+02	6.603757e+00
6.038903e+02	6.549989e+00
